City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,belokurikha,51.9959,84.9896,301.0,30,48,1.69,RU,1691645342
84,ruse,43.8564,25.9708,292.7,55,100,2.99,BG,1691645343
85,erdenet,49.0333,104.0833,295.1,63,60,3.42,MN,1691645343
86,usinsk,65.9939,57.5281,289.25,59,3,4.39,RU,1691645343
87,kandahar,31.0,65.75,304.7,15,0,4.2,AF,1691645344
88,college,64.8569,-147.8028,292.14,77,75,3.09,US,1691645344
89,ouidah,6.3631,2.0851,299.07,85,100,4.81,BJ,1691645345
90,brasileia,-11.0161,-68.7481,300.15,52,90,0.9,BR,1691645345
91,el granada,37.5027,-122.4694,291.05,90,100,7.2,US,1691645345
92,kirakira,-10.4544,161.9205,298.61,85,99,5.24,SB,1691645346
93,isafjordur,66.0755,-23.124,279.5,83,40,3.14,IS,1691645346
94,santanyi,39.3546,3.1291,298.53,72,8,3.59,ES,1691645346
95,holualoa,19.6228,-155.9522,300.06,75,40,4.12,US,1691645347
96,port mathurin,-19.6833,63.4167,295.52,75,7,4.21,MU,1691645347
97,trondheim,63.4305,10.3951,288.18,80,72,2.02,NO,1691645158
98,port saint john's,-31.6229,29.5448,288.97,87,27,3.97,ZA,1691645347
99,bengkulu,-3.8004,102.2655,301.97,70,31,3.44,ID,1691645348
100,avarua,-21.2078,-159.775,296.18,78,75,6.17,CK,1691645348
101,tura,25.5198,90.2201,299.52,91,99,2.06,IN,1691645348
102,bomadi,5.1593,5.9252,296.6,93,100,0.85,NG,1691645348
103,cooma,-36.2333,149.1333,282.61,54,76,5.34,AU,1691645349
104,cannonvale,-20.2833,148.7,293.81,62,29,6.1,AU,1691645349
105,langxiang,46.95,128.8833,293.81,94,99,1.6,CN,1691645349
106,tiksi,71.6872,128.8694,294.42,38,22,1.65,RU,1691645350
107,invercargill,-46.4,168.35,278.31,81,29,1.1,NZ,1691645350
108,longyearbyen,78.2186,15.6401,285.06,54,0,1.54,SJ,1691645350
109,ancud,-41.8697,-73.8203,283.17,91,100,7.02,CL,1691645351
110,qaqortoq,60.7167,-46.0333,279.13,82,10,0.87,GL,1691645351
111,axim,4.8699,-2.2405,296.99,87,100,4.79,GH,1691645351
112,uturoa,-16.7333,-151.4333,298.09,70,58,8.1,PF,1691645352
113,moyo,3.6609,31.7247,292.8,94,82,0.38,UG,1691645352
114,alofi,-19.0595,-169.9187,299.09,89,11,1.54,NU,1691645352
115,aykhal,66.0,111.5,296.34,56,67,7.18,RU,1691645353
116,mount pearl,47.5166,-52.7813,285.55,96,100,7.72,CA,1691645353
117,caleta de carquin,-11.0925,-77.6267,291.59,85,29,4.33,PE,1691645353
118,schopfheim,47.6511,7.8209,289.07,89,1,1.15,DE,1691645353
119,kailua-kona,19.6406,-155.9956,302.13,75,40,4.12,US,1691645354
120,kayangel,8.0823,134.7173,300.28,82,81,7.43,PW,1691645354
121,thompson,55.7435,-97.8558,282.24,87,0,1.03,CA,1691645101
122,broken hill,-31.95,141.4333,289.58,36,1,3.34,AU,1691645354
123,ushuaia,-54.8,-68.3,277.96,81,0,1.54,AR,1691645354
124,angaur state,6.906,134.13,301.41,79,99,8.62,PW,1691645355
125,haiku-pauwela,20.9219,-156.3051,298.17,73,40,6.69,US,1691645355
126,nova vicosa,-17.8919,-39.3719,294.61,76,9,2.41,BR,1691645355
127,ilulissat,69.2167,-51.1,277.16,93,100,3.09,GL,1691645356
128,berwick-upon-tweed,55.7833,-2.0,290.61,91,18,0.92,GB,1691645356
129,lobujya,27.95,86.8167,281.14,77,51,2.64,NP,1691645356
130,vilhena,-12.7406,-60.1458,295.42,45,28,1.19,BR,1691645356
131,vilyuchinsk,52.9306,158.4028,291.3,71,15,2.18,RU,1691645357
132,vernon,50.2581,-119.2691,295.35,63,19,1.03,CA,1691645357
133,porto velho,-8.7619,-63.9039,297.18,94,0,0.51,BR,1691645138
134,ca mau,9.1769,105.15,306.67,51,85,6.13,VN,1691645357
135,umluj,25.0213,37.2685,305.3,52,0,2.79,SA,1691645358
136,jeddah,21.5169,39.2192,306.07,70,40,2.06,SA,1691645218
137,hami,42.8,93.45,308.85,17,19,4.4,CN,1691645358
138,yuzhno-kurilsk,44.0306,145.8556,295.01,90,100,6.4,RU,1691645358
139,puerto santa,-8.9906,-78.6456,292.73,83,62,4.42,PE,1691645359
140,penaranda de bracamonte,40.9011,-5.2003,291.68,57,1,2.05,ES,1691645359
141,kholmskiy,44.8469,38.385,296.5,83,9,1.58,RU,1691645359
142,candolim,15.5181,73.7626,301.15,78,40,4.12,IN,1691645359
143,ajaccio,42.0,8.9167,290.18,82,0,2.06,FR,1691645092
144,sungai besar,3.6746,100.9867,303.71,71,50,1.93,MY,1691645360
145,weno,7.4515,151.8468,301.74,72,93,2.47,FM,1691645360
146,mana,5.6592,-53.7767,298.33,90,14,4.91,GF,1691645360
147,yakeshi,49.2833,120.7333,296.04,63,91,0.69,CN,1691645361
148,altayskoye,51.9533,85.3325,300.58,33,31,1.26,RU,1691645361
149,harstad,68.799,16.5293,291.27,62,25,1.34,NO,1691645361
150,saldanha,-33.0117,17.9442,281.18,61,0,2.85,ZA,1691645361
151,kavaratti,10.5669,72.642,301.16,76,99,8.26,IN,1691645362
152,kodiak,57.79,-152.4072,284.88,94,100,2.06,US,1691645362
153,buka,40.8108,69.1986,307.48,19,0,1.6,UZ,1691645362
154,rabaul,-4.1967,152.1721,301.33,72,94,8.24,PG,1691645362
